koi_period,koi_duration,koi_depth,koi_prad,koi_model_snr,koi_impact,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disposition,koi_disposition_encoded
31.33046135,5.176,5070.0,6.5,117.2,0.798,5251.0,4.581,0.817,15.855,0,0,0,0,CONFIRMED,0
3.9043425,3.831,16200.0,12.28,323.4,0.709,5810.0,4.526,0.898,15.016,0,1,0,0,FALSE POSITIVE,2
9.286358079,3.49949,44800.0,17.61,1671.1,0.377,5670.0,4.523,0.821,15.365,0,1,0,0,FALSE POSITIVE,2
3.951405455,2.1862,2450.0,31.44,117.2,1.276,6046.0,4.539,0.869,15.446,0,1,0,0,FALSE POSITIVE,2
23.65369415,8.2183,3340.0,7.89,266.3,0.008,5739.0,4.191,1.384,15.084,0,0,0,0,CONFIRMED,0
13.23352214,6.7372,505.0,3.06,49.1,0.014,5739.0,4.191,1.384,15.084,0,0,0,0,CONFIRMED,0
6.15560285,4.9843,285.0,2.32,35.1,0.235,5739.0,4.191,1.384,15.084,0,0,0,0,CONFIRMED,0
2.090811305,3.388,116.0,1.62,19.9,0.746,5739.0,4.191,1.384,15.084,0,0,0,0,CONFIRMED,0
3.180027898,3.5797,120.0,1.53,50.4,0.196,5847.0,4.191,1.402,12.487,0,0,0,0,CONFIRMED,0
50.4467417,7.159,370.0,2.67,19.4,0.379,5739.0,4.191,1.384,15.084,0,0,0,0,CONFIRMED,0
11.76307164,2.9076,1040.0,2.35,48.9,0.048,4959.0,4.603,0.756,15.208,0,0,0,0,CONFIRMED,0
56.2279271,3.57,863.0,2.37,20.9,0.7,4959.0,4.603,0.756,15.208,0,0,0,0,CONFIRMED,0
2.384052875,3.0918,1270.0,17.06,50.5,1.178,4794.0,4.58,0.701,15.836,0,1,1,1,FALSE POSITIVE,2
7.953547,2.6312,875.0,2.25,38.4,0.3,4768.0,4.536,0.779,15.66,0,0,0,0,CONFIRMED,0
4.14451656,2.3421,392.0,1.48,22.8,0.004,4768.0,4.536,0.779,15.66,0,0,0,0,CONFIRMED,0
4.859386384,2.2757,6040.0,38.33,269.7,1.259,6072.0,4.47,0.988,15.311,0,1,0,0,FALSE POSITIVE,2
10.52629458,2.5211,9770.0,8.24,482.3,0.644,5386.0,4.553,0.793,15.305,0,0,0,0,CONFIRMED,0
4.583520948,2.7055,3810.0,5.39,99.5,0.045,5815.0,4.54,0.877,15.287,0,0,0,0,CONFIRMED,0
3.76181843,3.5176,511.0,2.66,35.9,0.926,5653.0,4.472,0.949,15.257,0,0,0,0,CONFIRMED,0
8.20396958,2.9667,1020.0,3.01,54.4,0.823,5015.0,4.499,0.826,15.376,0,0,0,0,CONFIRMED,0
14.49645186,4.016,648.0,3.01,25.7,0.97,5015.0,4.499,0.826,15.376,0,0,0,0,CONFIRMED,0
6.54626149,2.75,656.0,2.19,24.8,0.644,5251.0,4.581,0.817,15.855,0,0,0,0,CANDIDATE,1
12.71809866,3.0957,1150.0,2.31,52.7,0.427,4702.0,4.592,0.686,15.389,0,0,0,0,CONFIRMED,0
36.06588163,4.3246,1560.0,2.64,51.7,0.26,4702.0,4.592,0.686,15.389,0,0,0,0,CONFIRMED,0
4.190425659,2.8589,2880.0,6.21,240.6,0.458,6073.0,4.392,1.135,15.27,0,0,0,0,CONFIRMED,0
3.709870784,3.0694,2020.0,4.35,116.1,0.023,5727.0,4.463,0.978,15.581,0,0,0,0,CONFIRMED,0
16.3297527,6.271,1190.0,3.75,74.6,0.791,5878.0,4.444,0.987,15.447,0,0,0,0,CONFIRMED,0
27.80756622,4.21587,25400.0,13.84,748.1,0.782,5862.0,4.584,0.785,15.482,0,0,0,0,CONFIRMED,0
80.8723469,11.195,3600.0,7.59,160.9,0.527,5510.0,4.222,1.238,15.201,0,0,0,0,CONFIRMED,0
3.166465862,2.9381,4360.0,26.82,122.1,1.266,4968.0,4.575,0.704,15.999,0,1,1,0,FALSE POSITIVE,2
24.99324319,5.9409,270.0,2.29,62.0,0.686,5718.0,4.181,1.317,12.377,0,0,0,0,CONFIRMED,0
10.35533116,3.1775,751.0,2.47,49.2,0.029,5501.0,4.462,0.918,15.018,0,0,0,0,CONFIRMED,0
16.08518937,3.984,1440.0,3.68,62.6,0.867,5239.0,4.523,0.826,15.219,0,0,0,0,CONFIRMED,0
235.9986399,8.2284,20700.0,10.59,271.8,0.778,4245.0,4.627,0.657,15.172,0,0,0,0,CANDIDATE,1
